id,fuente,tradicion,siglo,texto,h1_localizacion,h2_temperatura,h3_momento,h4_pronostico,h5_tradicion
Gr_Ep1_C1,"Hippocrates, Epidemics I",griega,-5,"
        Philiscus lived by the wall. He took to his bed on the first day of acute fever;
        he sweated; towards night uncomfortable. On the fourth day, towards evening,
        much sweat; extremities cold; the sweating ceased; became cold. On the sixth day, died.",2,0,0,1,0
Gr_Ep1_C2,"Hippocrates, Epidemics I",griega,-5,"
        Silernus lived on Broadway near the place of Eualcidas. Violent fever began after fatigue.
        On the sixth day much sweat all over; extremities cold.
        On the seventh day, the fever was relieved; he recovered.",3,0,0,0,0
Gr_Ep1_C3,"Hippocrates, Epidemics I",griega,-5,"
        Herophon had acute fever. On the third day slight epistaxis.
        On the seventh day, sweating all over; fever diminished but did not cease.
        On the fourteenth day, sweating; fever resolved. Recovered.",3,1,0,0,0
Gr_Ep1_C4,"Hippocrates, Epidemics I",griega,-5,"
        Philistes had acute fever from the start. Head heavy, right hypochondrium tense.
        On the seventh day, hot sweat all over; afebrile briefly.
        Relapsed on the ninth day; died on the eleventh.",3,2,0,1,0
Gr_Ep1_C5,"Hippocrates, Epidemics I",griega,-5,"
        The wife of Epicrates had difficult labour; fever seized her on the first day.
        On the sixth day, great sweating about the head; neck and chest cold and clammy.
        On the seventh day, she died.",0,0,0,1,0
Gr_Ep1_C6,"Hippocrates, Epidemics I",griega,-5,"
        Cleanactides was seized with ardent fever. Pain of the head, neck, and loins.
        No sleep; dry cough; thirst. On the sixth, cold sweats all over the body;
        extremities could not be warmed. On the seventh day, died.",3,0,0,1,0
Gr_Ep1_C7,"Hippocrates, Epidemics I",griega,-5,"
        The man who lodged with Tisamenus had fever. Bowels disordered. Sleepless.
        On the sixth day sweated, had a crisis; free from fever. On the seventh, relapsed.
        On the eleventh, sweated abundantly all over; complete crisis. Recovered.",3,1,0,0,0
Gr_Ep1_C8,"Hippocrates, Epidemics I",griega,-5,"
        Epicrates was seized with ardent fever. Head heavy. On the eleventh sweated
        copiously all over; warmly; crisis; favorable. Recovered on the fourteenth day.",3,2,0,0,0
Gr_Ep1_C9,"Hippocrates, Epidemics I",griega,-5,"
        Melidia was seized with violent pain of the head, neck, and chest. Immediately had fever.
        On the sixth day, heavy sweating about the head and neck; cold and clammy all about
        the upper body. Delirium; on the seventh day, died.",0,0,0,1,0
Gr_Ep1_C10,"Hippocrates, Epidemics I",griega,-5,"
        Erasinus was seized with fever. Seventh day: rigor, acute fever, much sweating;
        fever subsided; crisis complete. Free from fever on the seventh; recovered.",3,1,0,0,0
Gr_Ep1_C11,"Hippocrates, Epidemics I",griega,-5,"
        Criton was seized with violent pain in the great toe. High fever. Delirium.
        Died on the second day.",2,1,1,1,0
